Category,Item,Price
Food and Beverage,white bread,0.0
Food and Beverage,white bread,0.0
Food and Beverage,white bread,0.0
Food and Beverage,white bread,0.0
Food and Beverage,white bread,0.0
Food and Beverage,beer,7.55
Food and Beverage,beer,7.99
Food and Beverage,beer,8.96
Food and Beverage,beer,9.99
Food and Beverage,beer,9.99
Food and Beverage,cereal,7.99
Food and Beverage,cereal,8.38
Food and Beverage,cereal,8.99
Food and Beverage,cereal,9.35
Food and Beverage,cereal,9.89
Food and Beverage,dove chocolate,5.56
Food and Beverage,dove chocolate,6.98
Food and Beverage,dove chocolate,7.99
Food and Beverage,dove chocolate,9.99
Food and Beverage,dove chocolate,10.96
Food and Beverage,orange juice,6.93
Food and Beverage,orange juice,14.97
Food and Beverage,orange juice,14.99
Food and Beverage,orange juice,17.6
Food and Beverage,orange juice,17.88
Food and Beverage,spaghetti,3.99
Food and Beverage,spaghetti,3.99
Food and Beverage,spaghetti,4.39
Food and Beverage,spaghetti,4.39
Food and Beverage,spaghetti,5.39
Food and Beverage,coca cola,2.79
Food and Beverage,coca cola,3.84
Food and Beverage,coca cola,4.99
Food and Beverage,coca cola,4.99
Food and Beverage,coca cola,5.53
Food and Beverage,pesto,5.9
Food and Beverage,pesto,8.9
Food and Beverage,pesto,10.95
Food and Beverage,pesto,10.99
Food and Beverage,pesto,11.99
Food and Beverage,potato chips,9.99
Food and Beverage,potato chips,16.98
Food and Beverage,potato chips,19.85
Food and Beverage,potato chips,24.99
Food and Beverage,potato chips,24.99
Food and Beverage,peanut butter,8.29
Food and Beverage,peanut butter,10.58
Food and Beverage,peanut butter,13.49
Food and Beverage,peanut butter,13.99
Food and Beverage,peanut butter,14.99
Food and Beverage,tea,2.49
Food and Beverage,tea,3.99
Food and Beverage,tea,3.99
Food and Beverage,tea,3.99
Food and Beverage,tea,5.59
Food and Beverage,rice,17.98
Food and Beverage,rice,19.99
Food and Beverage,rice,19.99
Food and Beverage,rice,22.27
Food and Beverage,rice,29.0
Food and Beverage,flour,7.5
Food and Beverage,flour,7.5
Food and Beverage,flour,9.99
Food and Beverage,flour,10.6
Food and Beverage,flour,10.99
Food and Beverage,olive oil,11.99
Food and Beverage,olive oil,11.99
Food and Beverage,olive oil,14.95
Food and Beverage,olive oil,14.99
Food and Beverage,olive oil,15.9
Food and Beverage,sugar,3.99
Food and Beverage,sugar,3.99
Food and Beverage,sugar,3.99
Food and Beverage,sugar,3.99
Food and Beverage,sugar,4.99
Food and Beverage,salt,3.99
Food and Beverage,salt,6.94
Food and Beverage,salt,9.99
Food and Beverage,salt,11.97
Food and Beverage,salt,15.48
Food and Beverage,pepper,2.49
Food and Beverage,pepper,3.99
Food and Beverage,pepper,5.69
Food and Beverage,pepper,5.99
Food and Beverage,pepper,6.59
Food and Beverage,ketchup,6.43
Food and Beverage,ketchup,8.79
Food and Beverage,ketchup,8.99
Food and Beverage,ketchup,10.99
Food and Beverage,ketchup,23.99
Food and Beverage,mustard,7.99
Food and Beverage,mustard,9.25
Food and Beverage,mustard,10.87
Food and Beverage,mustard,11.16
Food and Beverage,mustard,12.0
Food and Beverage,mayonnaise,9.99
Food and Beverage,mayonnaise,9.99
Food and Beverage,mayonnaise,9.99
Food and Beverage,mayonnaise,10.99
Food and Beverage,mayonnaise,11.25
Food and Beverage,honey,3.99
Food and Beverage,honey,3.99
Food and Beverage,honey,15.99
Food and Beverage,honey,16.6
Food and Beverage,honey,24.99
Food and Beverage,vinegar,3.69
Food and Beverage,vinegar,4.6
Food and Beverage,vinegar,4.6
Food and Beverage,vinegar,5.0
Food and Beverage,vinegar,6.44
Food and Beverage,canned soup,6.39
Food and Beverage,canned soup,8.69
Food and Beverage,canned soup,8.99
Food and Beverage,canned soup,9.99
Food and Beverage,canned soup,10.99
Food and Beverage,canned beans,4.99
Food and Beverage,canned beans,5.19
Food and Beverage,canned beans,7.99
Food and Beverage,canned beans,9.99
Food and Beverage,canned beans,9.99
Household Items,toilet paper,2.94
Household Items,toilet paper,2.99
Household Items,toilet paper,3.42
Household Items,toilet paper,3.93
Household Items,toilet paper,3.99
Household Items,paper towels,2.49
Household Items,paper towels,2.86
Household Items,paper towels,2.99
Household Items,paper towels,2.99
Household Items,paper towels,3.1
Household Items,dish soap,1.95
Household Items,dish soap,2.78
Household Items,dish soap,2.99
Household Items,dish soap,3.49
Household Items,dish soap,3.49
Household Items,laundry detergent,3.11
Household Items,laundry detergent,3.55
Household Items,laundry detergent,3.55
Household Items,laundry detergent,4.75
Household Items,laundry detergent,4.99
Household Items,trash bags,1.34
Household Items,trash bags,1.49
Household Items,trash bags,1.95
Household Items,trash bags,1.95
Household Items,trash bags,2.98
Household Items,aluminum foil,1.89
Household Items,aluminum foil,1.99
Household Items,aluminum foil,1.99
Household Items,aluminum foil,3.97
Household Items,aluminum foil,6.72
Household Items,plastic wrap,1.68
Household Items,plastic wrap,3.97
Household Items,plastic wrap,6.99
Household Items,plastic wrap,7.61
Household Items,plastic wrap,7.64
Household Items,sponges,1.39
Household Items,sponges,1.42
Household Items,sponges,1.79
Household Items,sponges,1.85
Household Items,sponges,2.07
Household Items,cleaning spray,2.95
Household Items,cleaning spray,2.99
Household Items,cleaning spray,3.7
Household Items,cleaning spray,3.95
Household Items,cleaning spray,3.99
Household Items,batteries,3.79
Household Items,batteries,4.76
Household Items,batteries,4.79
Household Items,batteries,7.99
Household Items,batteries,8.96
Household Items,light bulbs,4.99
Household Items,light bulbs,5.89
Household Items,light bulbs,5.94
Household Items,light bulbs,5.95
Household Items,light bulbs,5.99
Household Items,air freshener,2.25
Household Items,air freshener,2.25
Household Items,air freshener,2.29
Household Items,air freshener,2.69
Household Items,air freshener,4.45
Household Items,razors,2.92
Household Items,razors,3.45
Household Items,razors,3.49
Household Items,razors,3.95
Household Items,razors,3.95
Household Items,shaving cream,1.25
Household Items,shaving cream,1.55
Household Items,shaving cream,1.63
Household Items,shaving cream,1.95
Household Items,shaving cream,1.95
Household Items,toothpaste,1.19
Household Items,toothpaste,1.43
Household Items,toothpaste,1.94
Household Items,toothpaste,2.45
Household Items,toothpaste,2.46
Household Items,soap,1.49
Household Items,soap,1.95
Household Items,soap,1.95
Household Items,soap,1.95
Household Items,soap,2.25
Household Items,shampoo,2.69
Household Items,shampoo,2.75
Household Items,shampoo,2.95
Household Items,shampoo,2.95
Household Items,shampoo,2.95
Household Items,conditioner,3.95
