Category,Item,Price
Food and Beverage,white bread,5.99
Food and Beverage,white bread,5.99
Food and Beverage,white bread,6.99
Food and Beverage,white bread,7.99
Food and Beverage,white bread,9.58
Food and Beverage,beer,3.99
Food and Beverage,beer,3.99
Food and Beverage,beer,6.79
Food and Beverage,beer,6.99
Food and Beverage,beer,6.99
Food and Beverage,cereal,6.98
Food and Beverage,cereal,7.49
Food and Beverage,cereal,9.97
Food and Beverage,cereal,9.99
Food and Beverage,cereal,9.99
Food and Beverage,dove chocolate,4.99
Food and Beverage,dove chocolate,4.99
Food and Beverage,dove chocolate,5.55
Food and Beverage,dove chocolate,8.99
Food and Beverage,dove chocolate,8.99
Food and Beverage,orange juice,7.99
Food and Beverage,orange juice,8.86
Food and Beverage,orange juice,10.71
Food and Beverage,orange juice,10.99
Food and Beverage,orange juice,10.99
Food and Beverage,spaghetti,0.0
Food and Beverage,spaghetti,0.0
Food and Beverage,spaghetti,1.99
Food and Beverage,spaghetti,1.99
Food and Beverage,spaghetti,2.99
Food and Beverage,coca cola,5.99
Food and Beverage,coca cola,7.0
Food and Beverage,coca cola,8.42
Food and Beverage,coca cola,8.66
Food and Beverage,coca cola,8.91
Food and Beverage,pesto,9.99
Food and Beverage,pesto,9.99
Food and Beverage,pesto,11.99
Food and Beverage,pesto,12.99
Food and Beverage,pesto,13.49
Food and Beverage,potato chips,6.65
Food and Beverage,potato chips,6.75
Food and Beverage,potato chips,7.99
Food and Beverage,potato chips,8.59
Food and Beverage,potato chips,8.59
Food and Beverage,peanut butter,0.99
Food and Beverage,peanut butter,1.99
Food and Beverage,peanut butter,3.79
Food and Beverage,peanut butter,5.99
Food and Beverage,peanut butter,5.99
Food and Beverage,tea,0.0
Food and Beverage,tea,0.0
Food and Beverage,tea,1.99
Food and Beverage,tea,2.99
Food and Beverage,tea,2.99
Food and Beverage,rice,0.0
Food and Beverage,rice,3.99
Food and Beverage,rice,8.04
Food and Beverage,rice,9.8
Food and Beverage,rice,9.99
Food and Beverage,flour,5.99
Food and Beverage,flour,6.99
Food and Beverage,flour,6.99
Food and Beverage,flour,6.99
